"Province/Region/City"
Province/
Region/
City
"Province/Region/City","Population(10,000s)",In last 24 hours,Cumulative,,,,,,,,,,,,,,,,,
"",,,,,,In last 24 hours,Cumulative,,,,,,,,,,,,,
"",Province/,,,,,,,,,,,,,,,,,,,
"",,,Population,,,,,,,,,,,,,,,,,
"",Region/,,Confirmed,,,Suspected,,Deaths,"Confirmedcases",Deaths,,,,,,,,,,
"",,,"(10,000s)",Confirmed,,,,,,,,,,,,,,,,
"",City,cases,cases,Deaths,Deaths,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,cases,,,,
"",,,,,,,,,,,,,,,,,,,,
"",ubei,,,5917,,,115,,,52,,,37,,,67332,,,2871,
Guangdong,11346,0,0,0,1350,7,,,,,,,,,,,,,,
"",enan,,,9605,,,0,,,0,,,0,,,1272,,,22,
Zhejiang,5737,0,2,0,1213,1,,,,,,,,,,,,,,
"",unan,,,6899,,,0,,,0,,,0,,,1018,,,4,
Anhui,6324,0,0,0,990,6,,,,,,,,,,,,,,
"",iangxi,,,4648,,,0,,,0,,,0,,,935,,,1,
Shandong,10047,0,0,0,758,6,,,,,,,,,,,,,,
"",iangsu,,,8051,,,0,,,0,,,0,,,631,,,0,
Chongqing,3102,0,1,0,576,6,,,,,,,,,,,,,,
"",ichuan,,,8341,,,0,,,1,,,0,,,538,,,3,
Heilongjiang,3773,0,2,0,480,13,,,,,,,,,,,,,,
"",eijing,,,2154,,,3,,,11,,,0,,,417,,,8,
Shanghai,2424,0,19,0,338,3,,,,,,,,,,,,,,
"",ebei,,,7556,,,0,,,0,,,0,,,318,,,6,
Fujian,3941,0,0,0,296,1,,,,,,,,,,,,,,
"",uangxi,,,4926,,,0,,,0,,,0,,,252,,,2,
Shaanxi,3864,0,0,0,245,1,,,,,,,,,,,,,,
"",unnan,,,4830,,,0,,,2,,,0,,,174,,,2,
Hainan,934,0,0,0,168,5,,,,,,,,,,,,,,
"",uizhou,,,3600,,,0,,,0,,,0,,,146,,,2,
Tianjin,1560,0,17,0,136,3,,,,,,,,,,,,,,
"",hanxi,,,3718,,,0,,,0,,,0,,,133,,,0,
Liaoning,4359,0,36,0,125,1,,,,,,,,,,,,,,
"",ong Kong SAR,,,745,,,0,,,0,,,0,,,100,,,2,
Jilin,2704,0,0,0,93,1,,,,,,,,,,,,,,
"",ansu,,,2637,,,0,,,0,,,0,,,91,,,2,
Xinjiang,2487,0,0,0,76,3,,,,,,,,,,,,,,
"",ingxia,,,688,,,1,,,0,,,0,,,75,,,0,
Inner Mongolia,2534,0,0,1,75,1,,,,,,,,,,,,,,
"",aipei and environ,,,2359,,,1,,,0,,,0,,,42,,,1,
Qinghai,603,0,0,0,18,0,,,,,,,,,,,,,,
"",acao SAR,,,66,,,0,,,0,,,0,,,10,,,0,
Xizang,344,0,0,0,1,0,,,,,,,,,,,,,,
"",otal,,,142823,,,120,,,143,,,38,,,80422,,,2984,
"Population(10,000s)"
Population
"(10,000s)"
In last 24 hours
In last 24 hours
Cumulative
Cumulative
Deaths
Deaths
"Confirmedcases"
Confirmed
cases
Deaths
Deaths
Reporting Country,,Total,,,Total,,"Totaldeaths",,Total,,"Transmissionclassification†",,Days since,
"",,,Total,Transmission,,,,,,,,,,
"",eporting Country,confirmed,confirmed,new,last reported,,,,,,,,,
"",,,deaths,classification†,,,,,,,,,,
"",cases,new cases,deaths,case**,,,,,,,,,,
"",estern Pacific Region,,,,,,,,,,,,,
Republic of Korea,5328,516,32,4,Local transmission,0,,,,,,,,
Japan,284,16,6,0,Local transmission,0,,,,,,,,
Singapore,110,2,0,0,Local transmission,0,,,,,,,,
Malaysia,50,21,0,0,Local transmission,0,,,,,,,,
Australia,43,10,1,0,Local transmission,0,,,,,,,,
Viet Nam,16,0,0,0,Local transmission,20,,,,,,,,
Philippines,3,0,1,0,Imported cases only,28,,,,,,,,
New Zealand,2,0,0,0,Imported cases only,1,,,,,,,,
Cambodia,1,0,0,0,Imported cases only,36,,,,,,,,
"",uropean Region,,,,,,,,,,,,,
Italy,2502,466,80,28,Local transmission,0,,,,,,,,
France,212,21,4,1,Local transmission,0,,,,,,,,
Germany,196,39,0,0,Local transmission,0,,,,,,,,
Spain,151,37,0,0,Local transmission,0,,,,,,,,
"the UnitedKingdom¶",51,12,0,0,Local transmission,0,,,,,,,,
"",,,,,,,,,,,,,,
Switzerland,37,7,0,0,Local transmission,0,,,,,,,,
Norway,33,7,0,0,Local transmission,0,,,,,,,,
Netherlands,28,10,0,0,Local transmission,0,,,,,,,,
Austria,24,6,0,0,Imported cases only,0,,,,,,,,
Sweden,24,9,0,0,Local transmission,0,,,,,,,,
Iceland,16,7,0,0,Imported cases only,0,,,,,,,,
Israel,12,2,0,0,Local transmission,0,,,,,,,,
Croatia,9,1,0,0,Local transmission,0,,,,,,,,
Belgium,8,0,0,0,Imported cases only,1,,,,,,,,
Denmark,8,3,0,0,Local transmission,0,,,,,,,,
San Marino,8,0,0,0,Local transmission,1,,,,,,,,
Finland,7,0,0,0,Local transmission,1,,,,,,,,
Greece,7,0,0,0,Local transmission,2,,,,,,,,
Czechia,5,2,0,0,Imported cases only,0,,,,,,,,
Romania,4,1,0,0,Local transmission,0,,,,,,,,
Azerbaijan,3,0,0,0,Imported cases only,3,,,,,,,,
Georgia,3,0,0,0,Imported cases only,3,,,,,,,,
Russian Federation,3,0,0,0,Imported cases only,1,,,,,,,,
Estonia,2,1,0,0,Imported cases only,0,,,,,,,,
Ireland,2,1,0,0,Imported cases only,0,,,,,,,,
Portugal,2,0,0,0,Imported cases only,1,,,,,,,,
Andorra,1,0,0,0,Imported cases only,1,,,,,,,,
Armenia,1,0,0,0,Imported cases only,2,,,,,,,,
Belarus,1,0,0,0,Imported cases only,5,,,,,,,,
Latvia,1,0,0,0,Imported cases only,1,,,,,,,,
Lithuania,1,0,0,0,Imported cases only,5,,,,,,,,
Luxembourg,1,0,0,0,Imported cases only,2,,,,,,,,
Monaco,1,0,0,0,Under investigation,3,,,,,,,,
North Macedonia,1,0,0,0,Imported cases only,6,,,,,,,,
Poland,1,1,0,0,Imported cases only,0,,,,,,,,
Ukraine,1,1,0,0,Imported cases only,0,,,,,,,,
Reporting Country
eporting Country
"Totaldeaths"
Total
deaths
"Transmissionclassification†"
Transmission
classification†
"the UnitedKingdom¶"
""
"",outh-East Asia Region,,,,,,,,,,,,,,,,,,,
Thailand,43,0,1,0,Local transmission,1,,,,,,,,,,,,,,
India,6,1,0,0,Imported cases only,0,,,,,,,,,,,,,,
Indonesia,2,0,0,0,Local transmission,2,,,,,,,,,,,,,,
Nepal,1,0,0,0,Imported cases only,40,,,,,,,,,,,,,,
Sri Lanka,1,0,0,0,Imported cases only,37,,,,,,,,,,,,,,
"",astern Mediterranean Region,,,,,,,,,,,,,,,,,,,
"Iran (IslamicRepublic of)",2336,835,77,11,Local transmission,0,,,,,,,,,,,,,,
Kuwait,56,0,0,0,Imported cases only,2,,,,,,,,,,,,,,
Bahrain,49,0,0,0,Imported cases only,1,,,,,,,,,,,,,,
Iraq,31,5,0,0,Imported cases only,0,,,,,,,,,,,,,,
"United ArabEmirates",27,6,0,0,Local transmission,0,,,,,,,,,,,,,,
Lebanon,13,0,0,0,Local transmission,1,,,,,,,,,,,,,,
Oman,12,6,0,0,Imported cases only,0,,,,,,,,,,,,,,
Qatar,8,1,0,0,Imported cases only,0,,,,,,,,,,,,,,
Pakistan,5,0,0,0,Imported cases only,1,,,,,,,,,,,,,,
Egypt,2,0,0,0,Imported cases only,2,,,,,,,,,,,,,,
Afghanistan,1,0,0,0,Imported cases only,8,,,,,,,,,,,,,,
Jordan,1,0,0,0,Imported cases only,1,,,,,,,,,,,,,,
Morocco,1,0,0,0,Imported cases only,1,,,,,,,,,,,,,,
Saudi Arabia,1,0,0,0,Imported cases only,1,,,,,,,,,,,,,,
Tunisia,1,0,0,0,Imported cases only,1,,,,,,,,,,,,,,
"",egion of the Americas,,,,,,,,,,,,,,,,,,,
the United States,108,44,6,4,Local transmission,0,,,,,,,,,,,,,,
Canada,30,3,0,0,Local transmission,0,,,,,,,,,,,,,,
Ecuador,7,1,0,0,Local transmission,0,,,,,,,,,,,,,,
Mexico,5,0,0,0,Imported cases only,2,,,,,,,,,,,,,,
Brazil,2,0,0,0,Imported cases only,3,,,,,,,,,,,,,,
Argentina,1,1,0,0,Imported cases only,0,,,,,,,,,,,,,,
Chile,1,1,0,0,Imported cases only,0,,,,,,,,,,,,,,
Dominican Republic,1,0,0,0,Imported cases only,2,,,,,,,,,,,,,,
"",frican Region,,,,,,,,,,,,,,,,,,,
Algeria,5,0,0,0,Local transmission,1,,,,,,,,,,,,,,
Nigeria,1,0,0,0,Imported cases only,5,,,,,,,,,,,,,,
Senegal,1,0,0,0,Imported cases only,1,,,,,,,,,,,,,,
"",ubtotal for all,,11963,2103,208,48,,,,,,,,,,,,,,
"",,,11963,2103,208,48,,,,,,,,,,,,,,
"",egions,,,,,,,,,,,,,,,,,,,
"Internationalconveyance(Diamond Princess) ‡",706,0,6,0,Local transmission,2,,,,,,,,,,,,,,
"",rand total§,,,12669,,,2103,,,214,,,48,,,,,,,
11963
11963
2103
2103
208
208
48
48
""
""
""
""
