"Province/Region/City"
Province/
Region/
City
"Province/Region/City","Population(10,000s)",In last 24 hours,Cumulative,,,,,,,,,,,,,,,,,
"",Province/,In last 24 hours,Cumulative,,,,,,,,,,,,,,,,,
"",,,Population,,,,,,,,,,,,,,,,,
"",Region/,,,,,,,,,,,,,,,,,,,
"",,,"(10,000s)",,Confirmed,,,Suspected,,Deaths,,Confirmed,,Deaths,,,,,,
"",City,Deaths,Deaths,,,,,,,,,,,,,,,,,
"",,,,,,cas es,cases,cases,,,,,,,,,,,,
"",ubei,,,5917,,,126,,,43,,,29,,,67592,,,2931,
Guangdong,11346,1,0,0,1351,7,,,,,,,,,,,,,,
"",enan,,,9605,,,0,,,0,,,0,,,1272,,,22,
Zhejiang,5737,0,1,0,1215,1,,,,,,,,,,,,,,
"",unan,,,6899,,,0,,,0,,,0,,,1018,,,4,
Anhui,6324,0,0,0,990,6,,,,,,,,,,,,,,
"",iangxi,,,4648,,,0,,,0,,,0,,,935,,,1,
Shandong,10047,0,0,0,758,6,,,,,,,,,,,,,,
"",iangsu,,,8051,,,0,,,0,,,0,,,631,,,0,
Chongqing,3102,0,2,0,576,6,,,,,,,,,,,,,,
"",ichuan,,,8341,,,0,,,2,,,0,,,539,,,3,
Heilongjiang,3773,0,0,0,481,13,,,,,,,,,,,,,,
"",eijing,,,2154,,,4,,,3,,,0,,,422,,,8,
Shanghai,2424,1,22,0,339,3,,,,,,,,,,,,,,
"",ebei,,,7556,,,0,,,0,,,0,,,318,,,6,
Fujian,3941,0,0,0,296,1,,,,,,,,,,,,,,
"",uangxi,,,4926,,,0,,,0,,,0,,,252,,,2,
Shaanxi,3864,0,0,0,245,1,,,,,,,,,,,,,,
"",unnan,,,4830,,,0,,,2,,,0,,,174,,,2,
Hainan,934,0,0,1,168,6,,,,,,,,,,,,,,
"",uizhou,,,3600,,,0,,,2,,,0,,,146,,,2,
Tianjin,1560,0,9,0,136,3,,,,,,,,,,,,,,
"",hanxi,,,3718,,,0,,,0,,,0,,,133,,,0,
Liaoning,4359,0,13,0,125,1,,,,,,,,,,,,,,
"",ong Kong SAR,,,745,,,0,,,0,,,0,,,104,,,2,
Gansu,2637,11,0,0,102,2,,,,,,,,,,,,,,
"",ilin,,,2704,,,0,,,3,,,0,,,93,,,1,
Xinjiang,2487,0,0,0,76,3,,,,,,,,,,,,,,
"",nner Mongolia,,,2534,,,0,,,0,,,0,,,75,,,1,
Ningxia,688,0,0,0,75,0,,,,,,,,,,,,,,
"",aipei and environ,,,2359,,,3,,,0,,,0,,,45,,,1,
Qinghai,603,0,0,0,18,0,,,,,,,,,,,,,,
"",acao SAR,,,66,,,0,,,0,,,0,,,10,,,0,
Xizang,344,0,0,0,1,0,,,,,,,,,,,,,,
"",otal,,,142823,,,146,,,102,,,30,,,80711,,,3045,
"Population(10,000s)"
Population
"(10,000s)"
In last 24 hours
In last 24 hours
Cumulative
Cumulative
Deaths
Deaths
Deaths
Deaths
"","Reporting Country/Territory/Area†",,Total,,,Total,,"Totaldeaths",,Total,,"Transmissionclassification§",,Days since,
"",,eporting Country/,Total,Transmission,,,,,,,,,,,
"",,confirmed‡,confirmed,new,last reported,,,,,,,,,,
"",,erritory/Area†,deaths,classification§,,,,,,,,,,,
"",,cases,new cases,deaths,case,,,,,,,,,,
"",,estern Pacific Region,,,,,,,,,,,,,
"",Republic of Korea,6284,518,42,7,Local transmission,0,,,,,,,,
"",Japan,349,32,6,0,Local transmission,0,,,,,,,,
"",Singapore,117,7,0,0,Local transmission,0,,,,,,,,
"",Australia,57,0,2,0,Local transmission,1,,,,,,,,
"",Malaysia,55,5,0,0,Local transmission,0,,,,,,,,
"",Viet Nam,16,0,0,0,Local transmission,22,,,,,,,,
"",Philippines,5,2,1,0,Local transmission,0,,,,,,,,
"",New Zealand,4,2,0,0,Local transmission,0,,,,,,,,
"",Cambodia,1,0,0,0,Imported cases only,38,,,,,,,,
"",,uropean Region,,,,,,,,,,,,,
"",Italy,3858,769,148,41,Local transmission,0,,,,,,,,
"",Germany,534,272,0,0,Local transmission,0,,,,,,,,
"",France,420,138,6,2,Local transmission,0,,,,,,,,
"",Spain,257,59,3,2,Local transmission,0,,,,,,,,
"",The United Kingdom,118,29,0,0,Local transmission,0,,,,,,,,
"",Norway,86,30,0,0,Local transmission,0,,,,,,,,
"",Switzerland,86,30,1,1,Local transmission,0,,,,,,,,
"",Netherlands,82,44,0,0,Local transmission,0,,,,,,,,
"",Sweden,61,26,0,0,Local transmission,0,,,,,,,,
"",Belgium,50,27,0,0,Local transmission,1,,,,,,,,
"",Austria,47,10,0,0,Imported cases only,0,,,,,,,,
"",Greece,32,23,0,0,Local transmission,1,,,,,,,,
"",Iceland,26,0,0,0,Imported cases only,1,,,,,,,,
"",San Marino,21,5,0,0,Local transmission,0,,,,,,,,
"",Denmark,18,8,0,0,Local transmission,1,,,,,,,,
"",Israel,15,0,0,0,Local transmission,1,,,,,,,,
"",Ireland,14,12,0,0,Local transmission,0,,,,,,,,
"",Czechia,12,7,0,0,Local transmission,0,,,,,,,,
"",Finland,12,5,0,0,Local transmission,0,,,,,,,,
"",Croatia,10,1,0,0,Local transmission,0,,,,,,,,
"",Georgia,9,6,0,0,Imported cases only,0,,,,,,,,
"",Portugal,9,0,0,0,Local transmission,1,,,,,,,,
"",Belarus,6,0,0,0,Local transmission,1,,,,,,,,
"",Romania,6,2,0,0,Local transmission,0,,,,,,,,
"",Slovenia,6,5,0,0,Local transmission,0,,,,,,,,
"",Russian Federation,4,1,0,0,Imported cases only,0,,,,,,,,
"",Azerbaijan,3,0,0,0,Imported cases only,5,,,,,,,,
"",Estonia,3,1,0,0,Imported cases only,0,,,,,,,,
"","Bosnia andHerzegovina",2,0,0,0,Local transmission,1,,,,,,,,
"",Hungary,2,0,0,0,Imported cases only,1,,,,,,,,
"",Andorra,1,0,0,0,Imported cases only,3,,,,,,,,
"",Armenia,1,0,0,0,Imported cases only,4,,,,,,,,
"",Latvia,1,0,0,0,Imported cases only,3,,,,,,,,
"",Liechtenstein,1,0,0,0,Imported cases only,0,,,,,,,,
