"Province/Region/City"
Province/
Region/
City
"Province/Region/City","Population(10,000s)",In last 24 hours,Cumulative,,,,,,,,,,,,,,,,,
"",Province/,In last 24 hours,Cumulative,,,,,,,,,,,,,,,,,
"",,,Population,,,,,,,,,,,,,,,,,
"",Region/,,,,,,,,,,,,,,,,,,,
"",,,"(10,000s)",,Confirmed,,,Suspected,,Deaths,,Confirmed,,Deaths,,,,,,
"",City,Deaths,Deaths,,,,,,,,,,,,,,,,,
"",,,,,,cas es,cases,cases,,,,,,,,,,,,
"",ubei,,,5917,,,41,,,42,,,27,,,67707,,,2986,
Guangdong,11346,0,0,0,1352,7,,,,,,,,,,,,,,
"",enan,,,9605,,,0,,,0,,,0,,,1272,,,22,
Zhejiang,5737,0,0,0,1215,1,,,,,,,,,,,,,,
"",unan,,,6899,,,0,,,0,,,0,,,1018,,,4,
Anhui,6324,0,0,0,990,6,,,,,,,,,,,,,,
"",iangxi,,,4648,,,0,,,0,,,0,,,935,,,1,
Shandong,10047,0,0,0,758,6,,,,,,,,,,,,,,
"",iangsu,,,8051,,,0,,,0,,,0,,,631,,,0,
Chongqing,3102,0,0,0,576,6,,,,,,,,,,,,,,
"",ichuan,,,8341,,,0,,,1,,,0,,,539,,,3,
Heilongjiang,3773,0,0,0,481,13,,,,,,,,,,,,,,
"",eijing,,,2154,,,2,,,3,,,0,,,428,,,8,
Shanghai,2424,0,25,0,342,3,,,,,,,,,,,,,,
"",ebei,,,7556,,,0,,,0,,,0,,,318,,,6,
Fujian,3941,0,0,0,296,1,,,,,,,,,,,,,,
"",uangxi,,,4926,,,0,,,0,,,0,,,252,,,2,
Shaanxi,3864,0,0,0,245,1,,,,,,,,,,,,,,
"",unnan,,,4830,,,0,,,1,,,0,,,174,,,2,
Hainan,934,0,0,0,168,6,,,,,,,,,,,,,,
"",uizhou,,,3600,,,0,,,0,,,0,,,146,,,2,
Tianjin,1560,0,9,0,136,3,,,,,,,,,,,,,,
"",hanxi,,,3718,,,0,,,0,,,0,,,133,,,0,
Liaoning,4359,0,3,0,125,1,,,,,,,,,,,,,,
"",ansu,,,2637,,,1,,,0,,,0,,,120,,,2,
Hong Kong SAR,745,2,0,0,109,2,,,,,,,,,,,,,,
"",ilin,,,2704,,,0,,,0,,,0,,,93,,,1,
Xinjiang,2487,0,0,0,76,3,,,,,,,,,,,,,,
"",nner Mongolia,,,2534,,,0,,,0,,,0,,,75,,,1,
Ningxia,688,0,0,0,75,0,,,,,,,,,,,,,,
"",aipei and environ,,,2359,,,0,,,0,,,0,,,45,,,1,
Qinghai,603,0,0,0,18,0,,,,,,,,,,,,,,
"",acao SAR,,,66,,,0,,,0,,,0,,,10,,,0,
Xizang,344,0,0,0,1,0,,,,,,,,,,,,,,
"",otal,,,142823,,,46,,,84,,,27,,,80859,,,3100,
"Population(10,000s)"
Population
"(10,000s)"
In last 24 hours
In last 24 hours
Cumulative
Cumulative
Deaths
Deaths
Deaths
Deaths
"Reporting Country/Territory/Area†"
eporting Country/
erritory/Area†
"Reporting Country/Territory/Area†",,Total,,,Total,,"Totaldeaths",,Total,,"Transmissionclassification§",,Days since,
"",eporting Country/,Total,Transmission,,,,,,,,,,,
"",confirmed‡,confirmed,new,last reported,,,,,,,,,,
"",erritory/Area†,deaths,classification§,,,,,,,,,,,
"",cases,new cases,deaths,case,,,,,,,,,,
"",estern Pacific Region,,,,,,,,,,,,,
Republic of Korea,7134,367,50,6,Local transmission,0,,,,,,,,
Japan,455,48,6,0,Local transmission,0,,,,,,,,
Singapore,138,8,0,0,Local transmission,0,,,,,,,,
Malaysia,93,10,0,0,Local transmission,0,,,,,,,,
Australia,74,12,3,1,Local transmission,0,,,,,,,,
Viet Nam,21,4,0,0,Local transmission,0,,,,,,,,
Philippines,6,1,1,0,Local transmission,0,,,,,,,,
New Zealand,5,0,0,0,Local transmission,1,,,,,,,,
Cambodia,2,1,0,0,Local transmission,0,,,,,,,,
"",uropean Region,,,,,,,,,,,,,
Italy,5883,1247,234,37,Local transmission,0,,,,,,,,
Germany,795,156,0,0,Local transmission,0,,,,,,,,
France,706,93,10,1,Local transmission,0,,,,,,,,
Spain,430,56,5,0,Local transmission,0,,,,,,,,
Switzerland,264,55,2,1,Local transmission,0,,,,,,,,
The United Kingdom,210,43,2,1,Local transmission,0,,,,,,,,
Netherlands,188,60,1,0,Local transmission,0,,,,,,,,
Belgium,169,60,0,0,Local transmission,0,,,,,,,,
Sweden,161,24,0,0,Local transmission,0,,,,,,,,
Norway,147,34,0,0,Local transmission,0,,,,,,,,
Austria,104,38,0,0,Local transmission,0,,,,,,,,
Greece,66,34,0,0,Local transmission,0,,,,,,,,
Iceland,45,0,0,0,Local transmission,1,,,,,,,,
Denmark,31,8,0,0,Local transmission,0,,,,,,,,
San Marino,27,3,1,1,Local transmission,0,,,,,,,,
Czechia,26,14,0,0,Local transmission,0,,,,,,,,
Israel,25,6,0,0,Local transmission,0,,,,,,,,
Portugal,21,8,0,0,Local transmission,0,,,,,,,,
Finland,19,0,0,0,Local transmission,1,,,,,,,,
Ireland,19,1,0,0,Local transmission,0,,,,,,,,
Romania,13,6,0,0,Local transmission,0,,,,,,,,
Georgia,12,3,0,0,Imported cases only,0,,,,,,,,
Slovenia,12,3,0,0,Local transmission,0,,,,,,,,
Croatia,11,0,0,0,Local transmission,1,,,,,,,,
Estonia,10,0,0,0,Imported cases only,1,,,,,,,,
Azerbaijan,9,0,0,0,Imported cases only,1,,,,,,,,
Hungary,7,3,0,0,Local transmission,0,,,,,,,,
Russian Federation,7,0,0,0,Imported cases only,1,,,,,,,,
Belarus,6,0,0,0,Local transmission,3,,,,,,,,
Poland,6,1,0,0,Imported cases only,0,,,,,,,,
Malta,3,3,0,0,Imported cases only,0,,,,,,,,
North Macedonia,3,0,0,0,Imported cases only,1,,,,,,,,
Slovakia,3,2,0,0,Local transmission,0,,,,,,,,
"Bosnia andHerzegovina",2,0,0,0,Local transmission,3,,,,,,,,
Bulgaria,2,2,0,0,Local transmission,0,,,,,,,,
Luxembourg,2,0,0,0,Imported cases only,1,,,,,,,,
"Totaldeaths"
Total
deaths
"Transmissionclassification§"
Transmission
classification§
Andorra,1,0,0,0,Imported cases only,5
Armenia,1,0,0,0,Imported cases only,6
